Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
2195	1	sp|Q6PDM2|SRSF1_MOUSE	 	 	sp|Q6PDM2|SRSF1_MOUSE, sp|Q9D0B0|SRSF9_MOUSE	 	42.3	248	27744	Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3	41	36	0.878	10	10	12	9	9	9	9	9	9.900	9.818	12.000	9.000
2196	1	sp|Q6PDN3|MYLK_MOUSE	 	 	sp|O08911|MK12_MOUSE, sp|P47811|MK14_MOUSE, sp|Q61831|MK10_MOUSE, sp|Q6PDN3|MYLK_MOUSE, sp|Q91Y86|MK08_MOUSE, sp|Q9WTU6|MK09_MOUSE	 	20.7	1941	212923	Myosin light chain kinase, smooth muscle OS=Mus musculus GN=Mylk PE=1 SV=3	154	146	0.948	37	41	40	36	35	39	38	34	36.371	40.371	39.371	35.371
2197	1	sp|Q6PDQ2|CHD4_MOUSE	 	 	 	 	5.9	1915	217749	Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1	14	14	1.000	3	3	4	4	3	3	4	4	3.000	3.000	4.000	4.000
2198	1	sp|Q6PDY2|AEDO_MOUSE	 	 	 	 	31.6	256	28372	2-aminoethanethiol dioxygenase OS=Mus musculus GN=Ado PE=1 SV=2	14	14	1.000	2	2	4	6	2	2	4	6	2.000	2.000	4.000	6.000
2199	1	sp|Q6PE15|ABHDA_MOUSE	 	 	 	 	15.8	297	33040	Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=1 SV=1	8	8	1.000	1	2	2	3	1	2	2	3	1.000	2.000	2.000	3.000
2200	1	sp|Q6PEB6|PHOCN_MOUSE	 	 	 	 	40.0	225	26032	MOB-like protein phocein OS=Mus musculus GN=Mob4 PE=1 SV=1	15	15	1.000	3	4	5	3	3	4	5	3	3.000	4.000	5.000	3.000
2201	1	sp|Q6PEE2|CTIF_MOUSE	 	 	 	 	10.5	600	67830	CBP80/20-dependent translation initiation factor OS=Mus musculus GN=Ctif PE=1 SV=2	6	6	1.000	1	0	3	2	1	0	3	2	1.000	0.000	3.000	2.000
2202	1	sp|Q6PEE3|RIR2B_MOUSE	 	 	 	 	11.4	351	40803	Ribonucleoside-diphosphate reductase subunit M2 B OS=Mus musculus GN=Rrm2b PE=1 SV=1	6	6	1.000	1	3	1	1	1	3	1	1	1.000	3.000	1.000	1.000
2203	1	sp|Q6PER3|MARE3_MOUSE	 	 	sp|Q61166|MARE1_MOUSE, sp|Q6PER3|MARE3_MOUSE, sp|Q8R001|MARE2_MOUSE	 	20.3	281	31966	Microtubule-associated protein RP/EB family member 3 OS=Mus musculus GN=Mapre3 PE=1 SV=1	16	6	0.375	5	4	4	3	2	1	2	1	2.382	1.268	2.315	1.188
2204	1	sp|Q6PF93|PK3C3_MOUSE	 	 	 	 	16.6	887	101486	Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Mus musculus GN=Pik3c3 PE=1 SV=1	37	37	1.000	9	4	13	11	9	4	13	11	9.000	4.000	13.000	11.000
2205	1	sp|Q6PFD9|NUP98_MOUSE	 	 	 	 	3.7	1816	197238	Nuclear pore complex protein Nup98-Nup96 OS=Mus musculus GN=Nup98 PE=1 SV=2	6	6	1.000	3	1	2	0	3	1	2	0	3.000	1.000	2.000	0.000
2206	1	sp|Q6PGA0|RCOR3_MOUSE (+1)	sp|Q6PGA0|RCOR3_MOUSE&sp|Q8CFE3|RCOR1_MOUSE	 	 	 	6.4	451	49779	REST corepressor 3 OS=Mus musculus GN=Rcor3 PE=1 SV=2	5	5	1.000	0	2	1	2	0	2	1	2	0.000	2.000	1.000	2.000
2207	1	sp|Q6PGB6|NAA50_MOUSE	 	 	 	 	40.8	169	19414	N-alpha-acetyltransferase 50 OS=Mus musculus GN=Naa50 PE=1 SV=1	22	22	1.000	6	5	5	6	6	5	5	6	6.000	5.000	5.000	6.000
2208	1	sp|Q6PGC1|DHX29_MOUSE	 	 	 	 	10.4	1365	153973	ATP-dependent RNA helicase DHX29 OS=Mus musculus GN=Dhx29 PE=1 SV=1	21	21	1.000	6	5	5	5	6	5	5	5	6.000	5.000	5.000	5.000
2209	1	sp|Q6PGF7|EXOC8_MOUSE	 	 	 	 	23.2	716	81034	Exocyst complex component 8 OS=Mus musculus GN=Exoc8 PE=1 SV=1	21	21	1.000	4	5	5	7	4	5	5	7	4.000	5.000	5.000	7.000
2210	1	sp|Q6PGH2|HN1L_MOUSE	 	 	 	 	55.3	190	20020	Hematological and neurological expressed 1-like protein OS=Mus musculus GN=Hn1l PE=1 SV=1	25	25	1.000	9	4	8	4	9	4	8	4	9.000	4.000	8.000	4.000
2211	1	sp|Q6PGL7|FAM21_MOUSE	 	 	 	 	31.6	1334	145309	WASH complex subunit FAM21 OS=Mus musculus GN=Fam21 PE=1 SV=1	72	72	1.000	20	11	20	21	20	11	20	21	20.000	11.000	20.000	21.000
2212	1	sp|Q6PHN9|RAB35_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE, sp|Q9DD03|RAB13_MOUSE	 	35.8	201	23025	Ras-related protein Rab-35 OS=Mus musculus GN=Rab35 PE=1 SV=1	61	13	0.213	11	19	16	15	1	6	4	2	1.490	6.626	4.567	2.605
2213	1	sp|Q6PHU5|SORT_MOUSE	 	 	 	 	15.0	825	91199	Sortilin OS=Mus musculus GN=Sort1 PE=1 SV=1	33	33	1.000	9	8	8	8	9	8	8	8	9.000	8.000	8.000	8.000
2216	1	sp|Q6PIP5|NUDC1_MOUSE	 	 	 	 	17.0	582	66704	NudC domain-containing protein 1 OS=Mus musculus GN=Nudcd1 PE=1 SV=2	31	31	1.000	10	6	8	7	10	6	8	7	10.000	6.000	8.000	7.000
2217	1	sp|Q6PIU9|YJ005_MOUSE	 	 	 	 	21.8	354	37704	Uncharacterized protein FLJ45252 homolog OS=Mus musculus PE=1 SV=2	20	20	1.000	4	4	5	7	4	4	5	7	4.000	4.000	5.000	7.000
2218	1	sp|Q6PR54|RIF1_MOUSE	 	 	 	 	1.5	2419	266225	Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
2219	1	sp|Q6Q477|AT2B4_MOUSE	 	 	sp|G5E829|AT2B1_MOUSE, sp|Q6Q477|AT2B4_MOUSE	 	22.6	1205	133067	Plasma membrane calcium-transporting ATPase 4 OS=Mus musculus GN=Atp2b4 PE=1 SV=1	105	70	0.667	27	27	25	26	19	17	18	16	25.080	23.296	23.478	24.421
2220	1	sp|Q6Q899|DDX58_MOUSE	 	 	 	 	30.3	926	105974	Probable ATP-dependent RNA helicase DDX58 OS=Mus musculus GN=Ddx58 PE=1 SV=2	78	78	1.000	22	20	18	18	22	20	18	18	22.000	20.000	18.000	18.000
2221	1	sp|Q6QD59|SEC20_MOUSE	 	 	 	 	11.4	228	26175	Vesicle transport protein SEC20 OS=Mus musculus GN=Bnip1 PE=1 SV=1	4	4	1.000	0	0	1	3	0	0	1	3	0.000	0.000	1.000	3.000
2222	1	sp|Q6R891|NEB2_MOUSE	 	 	 	 	19.3	817	89519	Neurabin-2 OS=Mus musculus GN=Ppp1r9b PE=1 SV=1	31	31	1.000	8	6	9	8	8	6	9	8	8.000	6.000	9.000	8.000
2223	1	sp|Q6RHR9|MAGI1_MOUSE	 	 	 	 	2.3	1471	161972	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Mus musculus GN=Magi1 PE=1 SV=1	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
2224	1	sp|Q6TCG2|PAQR9_MOUSE	 	 	 	 	5.6	375	42741	Progestin and adipoQ receptor family member 9 OS=Mus musculus GN=Paqr9 PE=1 SV=2	7	7	1.000	1	3	2	1	1	3	2	1	1.000	3.000	2.000	1.000
2225	1	sp|Q6TEK5|VKORL_MOUSE	 	 	 	 	11.9	176	19778	Vitamin K epoxide reductase complex subunit 1-like protein 1 OS=Mus musculus GN=Vkorc1l1 PE=1 SV=1	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
2226	1	sp|Q6URW6|MYH14_MOUSE	 	 	sp|O08638|MYH11_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q6URW6|MYH14_MOUSE, sp|Q8VDD5|MYH9_MOUSE	 	6.2	2000	228583	Myosin-14 OS=Mus musculus GN=Myh14 PE=1 SV=1	61	9	0.148	11	21	13	16	0	4	2	3	0.000	4.233	2.076	3.120
2227	1	sp|Q6WKZ8|UBR2_MOUSE	 	 	 	 	5.2	1755	199153	E3 ubiquitin-protein ligase UBR2 OS=Mus musculus GN=Ubr2 PE=1 SV=2	16	16	1.000	4	5	3	4	4	5	3	4	4.000	5.000	3.000	4.000
2228	1	sp|Q6WVG3|KCD12_MOUSE	 	 	 	 	48.0	327	35892	BTB/POZ domain-containing protein KCTD12 OS=Mus musculus GN=Kctd12 PE=1 SV=1	61	61	1.000	11	14	17	19	11	14	17	19	11.000	14.000	17.000	19.000
2229	1	sp|Q6X6Z7|TEKT3_MOUSE	 	 	 	 	6.3	490	56672	Tektin-3 OS=Mus musculus GN=Tekt3 PE=2 SV=1	3	3	1.000	0	1	0	2	0	1	0	2	0.000	1.000	0.000	2.000
2230	1	sp|Q6X893|CTL1_MOUSE	 	 	 	 	5.5	653	73066	Choline transporter-like protein 1 OS=Mus musculus GN=Slc44a1 PE=1 SV=3	5	5	1.000	0	2	2	1	0	2	2	1	0.000	2.000	2.000	1.000
2231	1	sp|Q6Y685|TACC1_MOUSE	 	 	sp|Q6Y685|TACC1_MOUSE, sp|Q9JJG0|TACC2_MOUSE	 	17.7	774	83951	Transforming acidic coiled-coil-containing protein 1 OS=Mus musculus GN=Tacc1 PE=1 SV=1	36	28	0.778	9	9	9	9	7	7	7	7	8.556	8.750	9.000	8.750
2232	1	sp|Q6ZPE2|MTMR5_MOUSE	 	 	 	 	5.1	1867	208690	Myotubularin-related protein 5 OS=Mus musculus GN=Sbf1 PE=1 SV=2	7	7	1.000	2	3	1	1	2	3	1	1	2.000	3.000	1.000	1.000
2233	1	sp|Q6ZPF4|FMNL3_MOUSE	 	 	 	 	3.3	1028	117167	Formin-like protein 3 OS=Mus musculus GN=Fmnl3 PE=1 SV=2	6	6	1.000	1	2	2	1	1	2	2	1	1.000	2.000	2.000	1.000
2234	1	sp|Q6ZPJ3|UBE2O_MOUSE	 	 	 	 	10.1	1288	140832	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O OS=Mus musculus GN=Ube2o PE=1 SV=3	12	12	1.000	3	2	4	3	3	2	4	3	3.000	2.000	4.000	3.000
2235	1	sp|Q6ZPR4|KCNT1_MOUSE	 	 	 	 	2.9	1224	138104	Potassium channel subfamily T member 1 OS=Mus musculus GN=Kcnt1 PE=1 SV=2	3	3	1.000	0	1	0	2	0	1	0	2	0.000	1.000	0.000	2.000
2236	1	sp|Q6ZPU9|KBP_MOUSE	 	 	 	 	23.3	617	71051	KIF1-binding protein OS=Mus musculus GN=Kif1bp PE=1 SV=2	19	19	1.000	7	5	3	4	7	5	3	4	7.000	5.000	3.000	4.000
2237	1	sp|Q6ZQ18|EFR3B_MOUSE	 	 	sp|Q6ZQ18|EFR3B_MOUSE, sp|Q8BG67|EFR3A_MOUSE	 	1.8	817	92405	Protein EFR3 homolog B OS=Mus musculus GN=Efr3b PE=1 SV=2	2	1	0.500	2	0	0	0	1	0	0	0	1.500	0.000	0.000	0.000
2238	1	sp|Q6ZQ38|CAND1_MOUSE	 	 	 	 	34.1	1230	136330	Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=1 SV=2	148	148	1.000	40	37	38	33	40	37	38	33	40.000	37.000	38.000	33.000
2239	1	sp|Q6ZQ58|LARP1_MOUSE	 	 	 	 	16.0	1072	121123	La-related protein 1 OS=Mus musculus GN=Larp1 PE=1 SV=3	27	27	1.000	4	6	12	5	4	6	12	5	4.000	6.000	12.000	5.000
2240	1	sp|Q6ZQ82|RHG26_MOUSE	 	 	 	 	3.3	814	92070	Rho GTPase-activating protein 26 OS=Mus musculus GN=Arhgap26 PE=1 SV=3	6	6	1.000	2	1	2	1	2	1	2	1	2.000	1.000	2.000	1.000
2241	1	sp|Q6ZQ88|KDM1A_MOUSE	 	 	 	 	3.6	853	92849	Lysine-specific histone demethylase 1A OS=Mus musculus GN=Kdm1a PE=1 SV=2	6	6	1.000	1	3	1	1	1	3	1	1	1.000	3.000	1.000	1.000
2242	1	sp|Q6ZQB6|VIP2_MOUSE	 	 	sp|A2ARP1|VIP1_MOUSE, sp|Q6ZQB6|VIP2_MOUSE	 	6.7	1129	128425	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Mus musculus GN=Ppip5k2 PE=1 SV=3	9	5	0.556	4	2	1	2	3	1	0	1	4.000	1.500	0.000	1.500
2243	1	sp|Q6ZQI3|MLEC_MOUSE	 	 	 	 	46.4	291	32342	Malectin OS=Mus musculus GN=Mlec PE=1 SV=2	52	52	1.000	13	12	15	12	13	12	15	12	13.000	12.000	15.000	12.000
2244	1	sp|Q6ZQK5|ACAP2_MOUSE	 	 	 	 	12.6	770	87210	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2	27	27	1.000	6	8	6	7	6	8	6	7	6.000	8.000	6.000	7.000
2245	1	sp|Q6ZQM8|UD17C_MOUSE	 	 	sp|P17717|UDB17_MOUSE, sp|Q64435|UD16_MOUSE, sp|Q6ZQM8|UD17C_MOUSE	 	20.2	531	59757	UDP-glucuronosyltransferase 1-7C OS=Mus musculus GN=Ugt1a7c PE=1 SV=1	22	5	0.227	5	7	6	4	0	1	2	2	0.000	2.133	3.143	2.400
2246	1	sp|Q6ZWM4|LSM8_MOUSE	 	 	 	 	41.7	96	10403	U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus GN=Lsm8 PE=1 SV=3	15	15	1.000	7	4	2	2	7	4	2	2	7.000	4.000	2.000	2.000
2247	1	sp|Q6ZWN5|RS9_MOUSE	 	 	 	 	49.5	194	22591	40S ribosomal protein S9 OS=Mus musculus GN=Rps9 PE=1 SV=3	89	89	1.000	29	21	22	17	29	21	22	17	29.000	21.000	22.000	17.000
2248	1	sp|Q6ZWQ0|SYNE2_MOUSE	 	 	 	 	2.4	6874	782716	Nesprin-2 OS=Mus musculus GN=Syne2 PE=1 SV=2	22	22	1.000	5	9	5	3	5	9	5	3	5.000	9.000	5.000	3.000
2249	1	sp|Q6ZWQ7|SPCS3_MOUSE	 	 	 	 	12.8	180	20313	Signal peptidase complex subunit 3 OS=Mus musculus GN=Spcs3 PE=1 SV=1	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
2250	1	sp|Q6ZWR6|SYNE1_MOUSE	 	 	 	 	1.3	8799	1009914	Nesprin-1 OS=Mus musculus GN=Syne1 PE=1 SV=2	20	20	1.000	6	6	3	5	6	6	3	5	6.000	6.000	3.000	5.000
2252	1	sp|Q6ZWV3|RL10_MOUSE	 	 	 	 	42.1	214	24604	60S ribosomal protein L10 OS=Mus musculus GN=Rpl10 PE=1 SV=3	56	56	1.000	13	14	15	14	13	14	15	14	13.000	14.000	15.000	14.000
2253	1	sp|Q6ZWV7|RL35_MOUSE	 	 	 	 	13.8	123	14552	60S ribosomal protein L35 OS=Mus musculus GN=Rpl35 PE=1 SV=1	8	8	1.000	2	0	3	3	2	0	3	3	2.000	0.000	3.000	3.000
2254	1	sp|Q6ZWX6|IF2A_MOUSE	 	 	 	 	62.9	315	36108	Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus GN=Eif2s1 PE=1 SV=3	82	82	1.000	19	22	20	21	19	22	20	21	19.000	22.000	20.000	21.000
2256	1	sp|Q6ZWZ2|UB2R2_MOUSE	 	 	 	 	17.6	238	27166	Ubiquitin-conjugating enzyme E2 R2 OS=Mus musculus GN=Ube2r2 PE=1 SV=1	8	8	1.000	2	1	3	2	2	1	3	2	2.000	1.000	3.000	2.000
2257	1	sp|Q70IV5|SYNEM_MOUSE	 	 	 	 	8.5	1561	173207	Synemin OS=Mus musculus GN=Synm PE=1 SV=2	24	24	1.000	6	8	5	5	6	8	5	5	6.000	8.000	5.000	5.000
2258	1	sp|Q71FD5|ZNRF2_MOUSE	 	 	 	 	39.9	238	23705	E3 ubiquitin-protein ligase ZNRF2 OS=Mus musculus GN=Znrf2 PE=1 SV=1	17	17	1.000	5	4	4	4	5	4	4	4	5.000	4.000	4.000	4.000
2259	1	sp|Q71FD7|FBLI1_MOUSE	 	 	 	 	10.4	375	41026	Filamin-binding LIM protein 1 OS=Mus musculus GN=Fblim1 PE=1 SV=2	7	7	1.000	1	0	3	3	1	0	3	3	1.000	0.000	3.000	3.000
2260	1	sp|Q71LX4|TLN2_MOUSE	 	 	sp|P26039|TLN1_MOUSE, sp|Q71LX4|TLN2_MOUSE, sp|Q9CPR4|RL17_MOUSE	 	47.2	2375	253618	Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=3	416	349	0.839	101	84	114	117	85	74	91	99	90.231	76.948	98.781	105.881
2261	1	sp|Q71RI9|KAT3_MOUSE	 	 	sp|Q71RI9|KAT3_MOUSE, sp|Q8BTY1|KAT1_MOUSE	 	32.7	455	51126	Kynurenine--oxoglutarate transaminase 3 OS=Mus musculus GN=Kyat3 PE=1 SV=1	49	42	0.857	11	13	12	13	9	11	11	11	10.200	12.467	11.647	12.222
2262	1	sp|Q76LS9|FA63A_MOUSE	 	 	 	 	15.0	468	51225	Ubiquitin carboxyl-terminal hydrolase MINDY-1 OS=Mus musculus GN=Fam63a PE=1 SV=1	29	29	1.000	7	8	7	7	7	8	7	7	7.000	8.000	7.000	7.000
2263	1	sp|Q76MZ3|2AAA_MOUSE	 	 	sp|Q76MZ3|2AAA_MOUSE, sp|Q7TNP2|2AAB_MOUSE	 	37.2	589	65322	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3	136	104	0.765	31	39	31	35	23	30	24	27	28.111	36.279	28.541	32.268
2264	1	sp|Q78IK4|MIC27_MOUSE	 	 	 	 	57.0	265	29260	MICOS complex subunit Mic27 OS=Mus musculus GN=Apool PE=1 SV=1	33	33	1.000	6	7	8	12	6	7	8	12	6.000	7.000	8.000	12.000
2265	1	sp|Q78IS1|TMED3_MOUSE	 	 	 	 	19.0	221	25465	Transmembrane emp24 domain-containing protein 3 OS=Mus musculus GN=Tmed3 PE=1 SV=1	10	10	1.000	3	2	3	2	3	2	3	2	3.000	2.000	3.000	2.000
2266	1	sp|Q78J03|MSRB2_MOUSE	 	 	 	 	29.7	175	19157	Methionine-R-sulfoxide reductase B2, mitochondrial OS=Mus musculus GN=Msrb2 PE=1 SV=1	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
2267	1	sp|Q78JE5|FBX22_MOUSE	 	 	 	 	17.4	402	44202	F-box only protein 22 OS=Mus musculus GN=Fbxo22 PE=1 SV=2	16	16	1.000	6	3	4	3	6	3	4	3	6.000	3.000	4.000	3.000
2268	1	sp|Q78JT3|3HAO_MOUSE	 	 	 	 	39.9	286	32804	3-hydroxyanthranilate 3,4-dioxygenase OS=Mus musculus GN=Haao PE=1 SV=1	19	19	1.000	4	1	8	6	4	1	8	6	4.000	1.000	8.000	6.000
2269	1	sp|Q78JW9|UBFD1_MOUSE	 	 	 	 	4.9	368	40143	Ubiquitin domain-containing protein UBFD1 OS=Mus musculus GN=Ubfd1 PE=1 SV=2	6	6	1.000	1	1	1	3	1	1	1	3	1.000	1.000	1.000	3.000
2270	1	sp|Q78PG9|CCD25_MOUSE	 	 	 	 	30.3	208	24480	Coiled-coil domain-containing protein 25 OS=Mus musculus GN=Ccdc25 PE=1 SV=1	20	20	1.000	4	7	5	4	4	7	5	4	4.000	7.000	5.000	4.000
2271	1	sp|Q78PY7|SND1_MOUSE	 	 	 	 	44.1	910	102087	Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1	175	175	1.000	40	44	44	47	40	44	44	47	40.000	44.000	44.000	47.000
2272	1	sp|Q78ZA7|NP1L4_MOUSE	 	 	sp|P28656|NP1L1_MOUSE, sp|Q78ZA7|NP1L4_MOUSE	 	39.5	375	42679	Nucleosome assembly protein 1-like 4 OS=Mus musculus GN=Nap1l4 PE=1 SV=1	80	64	0.800	20	19	20	21	16	15	17	16	17.362	16.538	18.214	18.000
2273	1	sp|Q791T5|MTCH1_MOUSE	 	 	 	 	8.0	389	41565	Mitochondrial carrier homolog 1 OS=Mus musculus GN=Mtch1 PE=1 SV=1	13	13	1.000	4	3	3	3	4	3	3	3	4.000	3.000	3.000	3.000
2274	1	sp|Q791V5|MTCH2_MOUSE	 	 	 	 	17.5	303	33499	Mitochondrial carrier homolog 2 OS=Mus musculus GN=Mtch2 PE=1 SV=1	27	27	1.000	7	9	7	4	7	9	7	4	7.000	9.000	7.000	4.000
2275	1	sp|Q7M6Y3|PICAL_MOUSE	 	 	 	 	31.5	660	71543	Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus GN=Picalm PE=1 SV=1	48	48	1.000	10	11	12	15	10	11	12	15	10.000	11.000	12.000	15.000
2276	1	sp|Q7SIG6|ASAP2_MOUSE	 	 	 	 	2.4	958	106804	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Asap2 PE=1 SV=3	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
2277	1	sp|Q7TMB8|CYFP1_MOUSE	 	 	 	 	18.3	1253	145240	Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1	78	78	1.000	16	17	23	22	16	17	23	22	16.000	17.000	23.000	22.000
2278	1	sp|Q7TMC8|FUK_MOUSE	 	 	 	 	9.2	1090	119266	L-fucose kinase OS=Mus musculus GN=Fuk PE=1 SV=1	16	16	1.000	4	6	4	2	4	6	4	2	4.000	6.000	4.000	2.000
2279	1	sp|Q7TMF3|NDUAC_MOUSE	 	 	 	 	30.3	145	17086	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus GN=Ndufa12 PE=1 SV=2	12	12	1.000	3	3	3	3	3	3	3	3	3.000	3.000	3.000	3.000
2280	1	sp|Q7TMK9|HNRPQ_MOUSE	 	 	 	 	44.8	623	69632	Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2	142	142	1.000	36	29	36	41	36	29	36	41	36.000	29.000	36.000	41.000
2282	1	sp|Q7TMQ7|WDR91_MOUSE	 	 	 	 	9.5	748	83420	WD repeat-containing protein 91 OS=Mus musculus GN=Wdr91 PE=1 SV=1	8	8	1.000	3	1	1	3	3	1	1	3	3.000	1.000	1.000	3.000
2283	1	sp|Q7TMR0|PCP_MOUSE	 	 	 	 	13.0	491	55026	Lysosomal Pro-X carboxypeptidase OS=Mus musculus GN=Prcp PE=1 SV=2	13	13	1.000	3	4	3	3	3	4	3	3	3.000	4.000	3.000	3.000
2284	1	sp|Q7TMS5|ABCG2_MOUSE	 	 	 	 	6.8	657	72977	ATP-binding cassette sub-family G member 2 OS=Mus musculus GN=Abcg2 PE=1 SV=1	5	5	1.000	1	3	0	1	1	3	0	1	1.000	3.000	0.000	1.000
2285	1	sp|Q7TMW6|NARFL_MOUSE	 	 	 	 	16.0	476	53107	Cytosolic Fe-S cluster assembly factor NARFL OS=Mus musculus GN=Narfl PE=1 SV=2	8	8	1.000	2	0	3	3	2	0	3	3	2.000	0.000	3.000	3.000
2286	1	sp|Q7TMY7|IPO8_MOUSE	 	 	 	 	4.1	1010	117076	Importin-8 OS=Mus musculus GN=Ipo8 PE=1 SV=3	7	7	1.000	3	1	1	2	3	1	1	2	3.000	1.000	1.000	2.000
2287	1	sp|Q7TMY8|HUWE1_MOUSE	 	 	 	 	9.3	4377	482629	E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus GN=Huwe1 PE=1 SV=5	60	60	1.000	16	16	16	12	16	16	16	12	16.000	16.000	16.000	12.000
2288	1	sp|Q7TN29|SMAP2_MOUSE	 	 	 	 	32.0	428	46577	Stromal membrane-associated protein 2 OS=Mus musculus GN=Smap2 PE=1 SV=1	20	20	1.000	8	2	5	5	8	2	5	5	8.000	2.000	5.000	5.000
2289	1	sp|Q7TN98|CPEB4_MOUSE	 	 	 	 	4.3	729	80121	Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus GN=Cpeb4 PE=1 SV=1	4	4	1.000	2	2	0	0	2	2	0	0	2.000	2.000	0.000	0.000
2291	1	sp|Q7TNG5|EMAL2_MOUSE	 	 	 	 	23.7	649	70733	Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=1 SV=1	50	50	1.000	13	10	12	15	13	10	12	15	13.000	10.000	12.000	15.000
2292	1	sp|Q7TNG8|LDHD_MOUSE	 	 	 	 	26.7	484	51847	Probable D-lactate dehydrogenase, mitochondrial OS=Mus musculus GN=Ldhd PE=1 SV=1	34	34	1.000	8	12	9	5	8	12	9	5	8.000	12.000	9.000	5.000
2293	1	sp|Q7TNP2|2AAB_MOUSE	 	 	sp|Q76MZ3|2AAA_MOUSE, sp|Q7TNP2|2AAB_MOUSE	 	36.4	601	65934	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus musculus GN=Ppp2r1b PE=1 SV=2	85	53	0.624	21	22	20	22	13	13	13	14	15.889	15.721	15.459	16.732
2294	1	sp|Q7TNV0|DEK_MOUSE	 	 	 	 	16.8	380	43158	Protein DEK OS=Mus musculus GN=Dek PE=1 SV=1	21	21	1.000	6	5	6	4	6	5	6	4	6.000	5.000	6.000	4.000
2295	1	sp|Q7TPD0|INT3_MOUSE	 	 	 	 	6.8	1041	117936	Integrator complex subunit 3 OS=Mus musculus GN=Ints3 PE=1 SV=2	4	4	1.000	0	2	1	1	0	2	1	1	0.000	2.000	1.000	1.000
2296	1	sp|Q7TPH6|MYCB2_MOUSE	 	 	 	 	2.3	4711	517732	E3 ubiquitin-protein ligase MYCBP2 OS=Mus musculus GN=Mycbp2 PE=1 SV=2	10	10	1.000	4	2	2	2	4	2	2	2	4.000	2.000	2.000	2.000
2297	1	sp|Q7TPM5|SACA9_MOUSE	 	 	 	 	16.7	168	19482	Sperm acrosome-associated protein 9 OS=Mus musculus GN=Spaca9 PE=1 SV=1	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
2298	1	sp|Q7TPM9|MTMRA_MOUSE	 	 	 	 	4.2	771	88196	Myotubularin-related protein 10 OS=Mus musculus GN=Mtmr10 PE=1 SV=2	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
